Area,Main means of travel to work,Year,Value,Flags
"Bay of Plenty Region","Walked or jogged","2006",4446,
"Bay of Plenty Region","Walked or jogged","2013",4281,
"Bay of Plenty Region","Other","2001",432,
"Bay of Plenty Region","Other","2006",507,
"Bay of Plenty Region","Other","2013",666,
"Bay of Plenty Region","Total people stated","2001",96897,
"Bay of Plenty Region","Total people stated","2006",111903,
"Bay of Plenty Region","Total people stated","2013",111627,
"Bay of Plenty Region","Not elsewhere included","2001",3849,
"Bay of Plenty Region","Not elsewhere included","2006",6567,
"Bay of Plenty Region","Not elsewhere included","2013",4656,
"Gisborne Region","Total people, main means of travel to work","2001",17907,
"Gisborne Region","Total people, main means of travel to work","2006",19296,
"Gisborne Region","Total people, main means of travel to work","2013",18153,
"Gisborne Region","Worked at home","2001",1908,
"Gisborne Region","Worked at home","2006",1797,
"Gisborne Region","Worked at home","2013",1701,
"Gisborne Region","Did not go to work today","2001",1842,
"Gisborne Region","Did not go to work today","2006",1758,
"Gisborne Region","Did not go to work today","2013",1755,
"Gisborne Region","Drove a private car, truck or van","2001",8343,
"Gisborne Region","Drove a private car, truck or van","2006",8874,
"Gisborne Region","Drove a private car, truck or van","2013",8787,
"Gisborne Region","Drove a company car, truck or van","2001",1812,
"Gisborne Region","Drove a company car, truck or van","2006",2268,
"Gisborne Region","Drove a company car, truck or van","2013",2199,
"Gisborne Region","Passenger in a car, truck, van or company bus","2001",1086,
"Gisborne Region","Passenger in a car, truck, van or company bus","2006",1206,
"Gisborne Region","Passenger in a car, truck, van or company bus","2013",975,
"Gisborne Region","Public bus","2001",63,
"Gisborne Region","Public bus","2006",51,
"Gisborne Region","Public bus","2013",63,
"Gisborne Region","Train","2001",24,
"Gisborne Region","Train","2006",3,
"Gisborne Region","Train","2013",6,
"Gisborne Region","Motor cycle or power cycle","2001",270,
"Gisborne Region","Motor cycle or power cycle","2006",282,
"Gisborne Region","Motor cycle or power cycle","2013",270,
"Gisborne Region","Bicycle","2001",591,
"Gisborne Region","Bicycle","2006",537,
"Gisborne Region","Bicycle","2013",504,
"Gisborne Region","Walked or jogged","2001",939,
"Gisborne Region","Walked or jogged","2006",963,
"Gisborne Region","Walked or jogged","2013",813,
"Gisborne Region","Other","2001",123,
"Gisborne Region","Other","2006",126,
"Gisborne Region","Other","2013",147,
"Gisborne Region","Total people stated","2001",16998,
"Gisborne Region","Total people stated","2006",17868,
"Gisborne Region","Total people stated","2013",17223,
"Gisborne Region","Not elsewhere included","2001",912,
"Gisborne Region","Not elsewhere included","2006",1428,
"Gisborne Region","Not elsewhere included","2013",930,
"Hawke's Bay Region","Total people, main means of travel to work","2001",63954,
"Hawke's Bay Region","Total people, main means of travel to work","2006",73173,
"Hawke's Bay Region","Total people, main means of travel to work","2013",68607,
"Hawke's Bay Region","Worked at home","2001",6201,
"Hawke's Bay Region","Worked at home","2006",6138,
"Hawke's Bay Region","Worked at home","2013",6189,
"Hawke's Bay Region","Did not go to work today","2001",6915,
"Hawke's Bay Region","Did not go to work today","2006",7230,
"Hawke's Bay Region","Did not go to work today","2013",7047,
"Hawke's Bay Region","Drove a private car, truck or van","2001",32538,
"Hawke's Bay Region","Drove a private car, truck or van","2006",35847,
"Hawke's Bay Region","Drove a private car, truck or van","2013",35139,
"Hawke's Bay Region","Drove a company car, truck or van","2001",5997,
"Hawke's Bay Region","Drove a company car, truck or van","2006",8115,
"Hawke's Bay Region","Drove a company car, truck or van","2013",7980,
"Hawke's Bay Region","Passenger in a car, truck, van or company bus","2001",3246,
"Hawke's Bay Region","Passenger in a car, truck, van or company bus","2006",3645,
"Hawke's Bay Region","Passenger in a car, truck, van or company bus","2013",2841,
"Hawke's Bay Region","Public bus","2001",288,
"Hawke's Bay Region","Public bus","2006",267,
"Hawke's Bay Region","Public bus","2013",366,
"Hawke's Bay Region","Train","2001",45,
"Hawke's Bay Region","Train","2006",12,
"Hawke's Bay Region","Train","2013",18,
"Hawke's Bay Region","Motor cycle or power cycle","2001",858,
"Hawke's Bay Region","Motor cycle or power cycle","2006",906,
"Hawke's Bay Region","Motor cycle or power cycle","2013",858,
"Hawke's Bay Region","Bicycle","2001",1995,
"Hawke's Bay Region","Bicycle","2006",1893,
"Hawke's Bay Region","Bicycle","2013",1941,
"Hawke's Bay Region","Walked or jogged","2001",3024,
"Hawke's Bay Region","Walked or jogged","2006",3267,
"Hawke's Bay Region","Walked or jogged","2013",2973,
"Hawke's Bay Region","Other","2001",270,
"Hawke's Bay Region","Other","2006",360,
"Hawke's Bay Region","Other","2013",447,
"Hawke's Bay Region","Total people stated","2001",61380,
"Hawke's Bay Region","Total people stated","2006",67677,
"Hawke's Bay Region","Total people stated","2013",65799,
"Hawke's Bay Region","Not elsewhere included","2001",2574,
"Hawke's Bay Region","Not elsewhere included","2006",5496,
"Hawke's Bay Region","Not elsewhere included","2013",2811,
"Taranaki Region","Total people, main means of travel to work","2001",46032,
"Taranaki Region","Total people, main means of travel to work","2006",51288,
"Taranaki Region","Total people, main means of travel to work","2013",52620,
"Taranaki Region","Worked at home","2001",7212,
"Taranaki Region","Worked at home","2006",5949,
"Taranaki Region","Worked at home","2013",5715,
"Taranaki Region","Did not go to work today","2001",5481,
"Taranaki Region","Did not go to work today","2006",5490,
"Taranaki Region","Did not go to work today","2013",5811,
"Taranaki Region","Drove a private car, truck or van","2001",20571,
"Taranaki Region","Drove a private car, truck or van","2006",23694,
"Taranaki Region","Drove a private car, truck or van","2013",25296,
"Taranaki Region","Drove a company car, truck or van","2001",3804,
"Taranaki Region","Drove a company car, truck or van","2006",5034,
"Taranaki Region","Drove a company car, truck or van","2013",5628,
"Taranaki Region","Passenger in a car, truck, van or company bus","2001",1779,
"Taranaki Region","Passenger in a car, truck, van or company bus","2006",2208,
"Taranaki Region","Passenger in a car, truck, van or company bus","2013",2001,
"Taranaki Region","Public bus","2001",168,
"Taranaki Region","Public bus","2006",141,
"Taranaki Region","Public bus","2013",177,
"Taranaki Region","Train","2001",24,
"Taranaki Region","Train","2006",15,
"Taranaki Region","Train","2013",9,
"Taranaki Region","Motor cycle or power cycle","2001",1086,
"Taranaki Region","Motor cycle or power cycle","2006",1188,
"Taranaki Region","Motor cycle or power cycle","2013",1236,
"Taranaki Region","Bicycle","2001",1077,
"Taranaki Region","Bicycle","2006",999,
"Taranaki Region","Bicycle","2013",1158,
"Taranaki Region","Walked or jogged","2001",3024,
"Taranaki Region","Walked or jogged","2006",3000,
"Taranaki Region","Walked or jogged","2013",2928,
"Taranaki Region","Other","2001",237,
"Taranaki Region","Other","2006",294,
"Taranaki Region","Other","2013",432,
"Taranaki Region","Total people stated","2001",44463,
"Taranaki Region","Total people stated","2006",48012,
"Taranaki Region","Total people stated","2013",50394,
"Taranaki Region","Not elsewhere included","2001",1569,
"Taranaki Region","Not elsewhere included","2006",3279,
"Taranaki Region","Not elsewhere included","2013",2226,
"Manawatū-Whanganui Region","Total people, main means of travel to work","2001",97695,
"Manawatū-Whanganui Region","Total people, main means of travel to work","2006",109218,
"Manawatū-Whanganui Region","Total people, main means of travel to work","2013",100521,
"Manawatū-Whanganui Region","Worked at home","2001",10773,
"Manawatū-Whanganui Region","Worked at home","2006",9564,
"Manawatū-Whanganui Region","Worked at home","2013",9324,
"Manawatū-Whanganui Region","Did not go to work today","2001",11112,
"Manawatū-Whanganui Region","Did not go to work today","2006",10800,
"Manawatū-Whanganui Region","Did not go to work today","2013",10662,
"Manawatū-Whanganui Region","Drove a private car, truck or van","2001",46104,
"Manawatū-Whanganui Region","Drove a private car, truck or van","2006",51051,
"Manawatū-Whanganui Region","Drove a private car, truck or van","2013",49212,
"Manawatū-Whanganui Region","Drove a company car, truck or van","2001",8604,
"Manawatū-Whanganui Region","Drove a company car, truck or van","2006",10980,
"Manawatū-Whanganui Region","Drove a company car, truck or van","2013",10785,
"Manawatū-Whanganui Region","Passenger in a car, truck, van or company bus","2001",4191,
"Manawatū-Whanganui Region","Passenger in a car, truck, van or company bus","2006",4992,
"Manawatū-Whanganui Region","Passenger in a car, truck, van or company bus","2013",3876,
"Manawatū-Whanganui Region","Public bus","2001",507,
"Manawatū-Whanganui Region","Public bus","2006",720,
"Manawatū-Whanganui Region","Public bus","2013",774,
"Manawatū-Whanganui Region","Train","2001",141,
"Manawatū-Whanganui Region","Train","2006",129,
"Manawatū-Whanganui Region","Train","2013",177,
"Manawatū-Whanganui Region","Motor cycle or power cycle","2001",1767,
"Manawatū-Whanganui Region","Motor cycle or power cycle","2006",1848,
"Manawatū-Whanganui Region","Motor cycle or power cycle","2013",1932,
"Manawatū-Whanganui Region","Bicycle","2001",4005,
"Manawatū-Whanganui Region","Bicycle","2006",3285,
"Manawatū-Whanganui Region","Bicycle","2013",2985,
"Manawatū-Whanganui Region","Walked or jogged","2001",6558,
"Manawatū-Whanganui Region","Walked or jogged","2006",7023,
"Manawatū-Whanganui Region","Walked or jogged","2013",6126,
"Manawatū-Whanganui Region","Other","2001",534,
"Manawatū-Whanganui Region","Other","2006",630,
"Manawatū-Whanganui Region","Other","2013",666,
"Manawatū-Whanganui Region","Total people stated","2001",94296,
"Manawatū-Whanganui Region","Total people stated","2006",101025,
"Manawatū-Whanganui Region","Total people stated","2013",96522,
"Manawatū-Whanganui Region","Not elsewhere included","2001",3399,
"Manawatū-Whanganui Region","Not elsewhere included","2006",8196,
"Manawatū-Whanganui Region","Not elsewhere included","2013",3999,
"Wellington Region","Total people, main means of travel to work","2001",208869,
"Wellington Region","Total people, main means of travel to work","2006",233616,
"Wellington Region","Total people, main means of travel to work","2013",235605,
"Wellington Region","Worked at home","2001",12708,
"Wellington Region","Worked at home","2006",13422,
"Wellington Region","Worked at home","2013",14517,
"Wellington Region","Did not go to work today","2001",23211,
"Wellington Region","Did not go to work today","2006",23574,
"Wellington Region","Did not go to work today","2013",24387,
"Wellington Region","Drove a private car, truck or van","2001",86532,
"Wellington Region","Drove a private car, truck or van","2006",92205,
"Wellington Region","Drove a private car, truck or van","2013",91545,
"Wellington Region","Drove a company car, truck or van","2001",18093,
"Wellington Region","Drove a company car, truck or van","2006",21120,
"Wellington Region","Drove a company car, truck or van","2013",20040,
"Wellington Region","Passenger in a car, truck, van or company bus","2001",11076,
"Wellington Region","Passenger in a car, truck, van or company bus","2006",12411,
"Wellington Region","Passenger in a car, truck, van or company bus","2013",10554,
"Wellington Region","Public bus","2001",15069,
"Wellington Region","Public bus","2006",17706,
"Wellington Region","Public bus","2013",18003,
"Wellington Region","Train","2001",11871,
"Wellington Region","Train","2006",13629,
"Wellington Region","Train","2013",14643,
"Wellington Region","Motor cycle or power cycle","2001",1656,
"Wellington Region","Motor cycle or power cycle","2006",1914,
"Wellington Region","Motor cycle or power cycle","2013",3033,
"Wellington Region","Bicycle","2001",4038,
"Wellington Region","Bicycle","2006",3861,
"Wellington Region","Bicycle","2013",5742,
"Wellington Region","Walked or jogged","2001",16941,
"Wellington Region","Walked or jogged","2006",20646,
"Wellington Region","Walked or jogged","2013",23001,
"Wellington Region","Other","2001",1857,
"Wellington Region","Other","2006",2073,
"Wellington Region","Other","2013",2523,
"Wellington Region","Total people stated","2001",203052,
"Wellington Region","Total people stated","2006",222558,
"Wellington Region","Total people stated","2013",227988,
"Wellington Region","Not elsewhere included","2001",5820,
"Wellington Region","Not elsewhere included","2006",11058,
"Wellington Region","Not elsewhere included","2013",7617,
"Tasman Region","Total people, main means of travel to work","2001",20550,
"Tasman Region","Total people, main means of travel to work","2006",23313,
"Tasman Region","Total people, main means of travel to work","2013",23511,
"Tasman Region","Worked at home","2001",3012,
"Tasman Region","Worked at home","2006",3108,
"Tasman Region","Worked at home","2013",3192,
"Tasman Region","Did not go to work today","2001",2283,
"Tasman Region","Did not go to work today","2006",2619,
"Tasman Region","Did not go to work today","2013",2709,
"Tasman Region","Drove a private car, truck or van","2001",9231,
"Tasman Region","Drove a private car, truck or van","2006",10284,
"Tasman Region","Drove a private car, truck or van","2013",10461,
"Tasman Region","Drove a company car, truck or van","2001",1788,
"Tasman Region","Drove a company car, truck or van","2006",2535,
"Tasman Region","Drove a company car, truck or van","2013",2766,
"Tasman Region","Passenger in a car, truck, van or company bus","2001",900,
"Tasman Region","Passenger in a car, truck, van or company bus","2006",891,
"Tasman Region","Passenger in a car, truck, van or company bus","2013",699,
"Tasman Region","Public bus","2001",72,
"Tasman Region","Public bus","2006",69,
"Tasman Region","Public bus","2013",81,
"Tasman Region","Train","2001",9,
"Tasman Region","Train","2006",12,
"Tasman Region","Train","2013",6,
"Tasman Region","Motor cycle or power cycle","2001",288,
"Tasman Region","Motor cycle or power cycle","2006",285,
"Tasman Region","Motor cycle or power cycle","2013",303,
"Tasman Region","Bicycle","2001",792,
"Tasman Region","Bicycle","2006",900,
"Tasman Region","Bicycle","2013",1014,
"Tasman Region","Walked or jogged","2001",1275,
"Tasman Region","Walked or jogged","2006",1335,
"Tasman Region","Walked or jogged","2013",1236,
"Tasman Region","Other","2001",120,
"Tasman Region","Other","2006",126,
"Tasman Region","Other","2013",168,
"Tasman Region","Total people stated","2001",19770,
"Tasman Region","Total people stated","2006",22173,
"Tasman Region","Total people stated","2013",22635,
"Tasman Region","Not elsewhere included","2001",783,
"Tasman Region","Not elsewhere included","2006",1140,
"Tasman Region","Not elsewhere included","2013",873,
"Nelson Region","Total people, main means of travel to work","2001",19575,
"Nelson Region","Total people, main means of travel to work","2006",22023,
"Nelson Region","Total people, main means of travel to work","2013",22626,
"Nelson Region","Worked at home","2001",1353,
"Nelson Region","Worked at home","2006",1446,
"Nelson Region","Worked at home","2013",1656,
"Nelson Region","Did not go to work today","2001",2529,
"Nelson Region","Did not go to work today","2006",2595,
"Nelson Region","Did not go to work today","2013",2742,
"Nelson Region","Drove a private car, truck or van","2001",9252,
"Nelson Region","Drove a private car, truck or van","2006",10284,
"Nelson Region","Drove a private car, truck or van","2013",10449,
"Nelson Region","Drove a company car, truck or van","2001",1707,
"Nelson Region","Drove a company car, truck or van","2006",2280,
"Nelson Region","Drove a company car, truck or van","2013",2388,
"Nelson Region","Passenger in a car, truck, van or company bus","2001",825,
"Nelson Region","Passenger in a car, truck, van or company bus","2006",948,
"Nelson Region","Passenger in a car, truck, van or company bus","2013",708,
"Nelson Region","Public bus","2001",99,
"Nelson Region","Public bus","2006",108,
"Nelson Region","Public bus","2013",186,
"Nelson Region","Train","2001",24,
"Nelson Region","Train","2006",12,
"Nelson Region","Train","2013",9,
"Nelson Region","Motor cycle or power cycle","2001",189,
"Nelson Region","Motor cycle or power cycle","2006",207,
"Nelson Region","Motor cycle or power cycle","2013",303,
"Nelson Region","Bicycle","2001",1140,
"Nelson Region","Bicycle","2006",1215,
"Nelson Region","Bicycle","2013",1524,
"Nelson Region","Walked or jogged","2001",1500,
"Nelson Region","Walked or jogged","2006",1749,
"Nelson Region","Walked or jogged","2013",1680,
"Nelson Region","Other","2001",165,
"Nelson Region","Other","2006",171,
"Nelson Region","Other","2013",222,
"Nelson Region","Total people stated","2001",18780,
"Nelson Region","Total people stated","2006",21015,
"Nelson Region","Total people stated","2013",21867,
"Nelson Region","Not elsewhere included","2001",795,
"Nelson Region","Not elsewhere included","2006",1008,
"Nelson Region","Not elsewhere included","2013",762,
"Marlborough Region","Total people, main means of travel to work","2001",19524,
"Marlborough Region","Total people, main means of travel to work","2006",22740,
"Marlborough Region","Total people, main means of travel to work","2013",21939,
"Marlborough Region","Worked at home","2001",2511,
"Marlborough Region","Worked at home","2006",2487,
"Marlborough Region","Worked at home","2013",2556,
"Marlborough Region","Did not go to work today","2001",2217,
"Marlborough Region","Did not go to work today","2006",2346,
"Marlborough Region","Did not go to work today","2013",2349,
"Marlborough Region","Drove a private car, truck or van","2001",8808,
"Marlborough Region","Drove a private car, truck or van","2006",10143,
"Marlborough Region","Drove a private car, truck or van","2013",10047,
"Marlborough Region","Drove a company car, truck or van","2001",1593,
"Marlborough Region","Drove a company car, truck or van","2006",2592,
"Marlborough Region","Drove a company car, truck or van","2013",2667,
"Marlborough Region","Passenger in a car, truck, van or company bus","2001",867,
"Marlborough Region","Passenger in a car, truck, van or company bus","2006",1125,
"Marlborough Region","Passenger in a car, truck, van or company bus","2013",909,
"Marlborough Region","Public bus","2001",39,
"Marlborough Region","Public bus","2006",21,
"Marlborough Region","Public bus","2013",24,
"Marlborough Region","Train","2001",12,
"Marlborough Region","Train","2006",6,
"Marlborough Region","Train","2013",6,
"Marlborough Region","Motor cycle or power cycle","2001",222,
"Marlborough Region","Motor cycle or power cycle","2006",180,
"Marlborough Region","Motor cycle or power cycle","2013",210,
"Marlborough Region","Bicycle","2001",885,
"Marlborough Region","Bicycle","2006",828,
"Marlborough Region","Bicycle","2013",807,
"Marlborough Region","Walked or jogged","2001",1464,
"Marlborough Region","Walked or jogged","2006",1581,
"Marlborough Region","Walked or jogged","2013",1362,
"Marlborough Region","Other","2001",216,
"Marlborough Region","Other","2006",177,
"Marlborough Region","Other","2013",186,
"Marlborough Region","Total people stated","2001",18834,
"Marlborough Region","Total people stated","2006",21492,
"Marlborough Region","Total people stated","2013",21129,
"Marlborough Region","Not elsewhere included","2001",690,
"Marlborough Region","Not elsewhere included","2006",1248,
"Marlborough Region","Not elsewhere included","2013",816,
"West Coast Region","Total people, main means of travel to work","2001",13947,
"West Coast Region","Total people, main means of travel to work","2006",16236,
"West Coast Region","Total people, main means of travel to work","2013",16122,
"West Coast Region","Worked at home","2001",1980,
"West Coast Region","Worked at home","2006",1821,
"West Coast Region","Worked at home","2013",1722,
"West Coast Region","Did not go to work today","2001",1632,
"West Coast Region","Did not go to work today","2006",1854,
"West Coast Region","Did not go to work today","2013",1857,
"West Coast Region","Drove a private car, truck or van","2001",5580,
"West Coast Region","Drove a private car, truck or van","2006",6564,
"West Coast Region","Drove a private car, truck or van","2013",6543,
"West Coast Region","Drove a company car, truck or van","2001",1302,
"West Coast Region","Drove a company car, truck or van","2006",1776,
"West Coast Region","Drove a company car, truck or van","2013",2148,
"West Coast Region","Passenger in a car, truck, van or company bus","2001",774,
"West Coast Region","Passenger in a car, truck, van or company bus","2006",1059,
"West Coast Region","Passenger in a car, truck, van or company bus","2013",939,
"West Coast Region","Public bus","2001",48,
